beach,weather,water,park
Juneway,Foster,Osterman,1
Rogers,Foster,Osterman,1
Howard,Foster,Osterman,1
Fargo,Foster,Osterman,1
Marion Mahoney Griffin,Foster,Osterman,1
Leone,Foster,Osterman,1
Loyola,Foster,Osterman,1
Tobey Prinz,Foster,Osterman,1
Columbia,Foster,Osterman,1
North Shore,Foster,Osterman,1
Hartigan,Foster,Osterman,1
Lane,Foster,Osterman,1
Osterman,Foster,Osterman,0
Foster,Foster,Osterman,1
Montrose,Foster,Montrose,0
Montrose Dog,Foster,Montrose,0
North Avenue,Oak Street,0
Oak Street,Oak Street,Ohio Street,0
Ohio Street,Oak Street,Ohio Street,0
12th Street,Oak Street,Ohio Street,1
Margaret T Burroughs,63rd Street,Ohio Street,1
Oakwood,63rd Street,63rd Street,0
57th Street,63rd Street,63rd Street,0
63rd Street,63rd Street,63rd Street,1
South Shore,63rd Street,Rainbow,0
Rainbow,63rd Street,Rainbow,1
Calumet,63rd Street,Rainbow,1