Date,Holiday
6-18-2006,Father's Day
6-21-2006,Summer Solstice
6-17-2007,Father's Day
6-21-2007,Summer Solstice
6-15-2008,Father's Day
6-20-2008,Summer Solstice
6-21-2009,Father's Day
6-21-2009,Summer Solstice
5-5-2010,Cinco De Mayo
5-31-2010,Memorial Day
6-20-2010,Father's Day
6-21-2010,Summer Solstice
7-4-2010,Independence Day
9-6-2010,Labor Day
5-5-2011,Cinco De Mayo
5-30-2011,Memorial Day
6-19-2011,Father's Day
6-21-2011,Summer Solstice
7-4-2011,Independence Day
9-5-2011,Labor Day
5-5-2012,Cinco De Mayo
5-28-2012,Memorial Day
6-17-2012,Father's Day
6-20-2012,Summer Solstice
7-4-2012,Independence Day
9-3-2012,Labor Day
5-5-2013,Cinco De Mayo
5-27-2013,Memorial Day
6-16-2013,Father's Day
6-21-2013,Summer Solstice
7-4-2013,Independence Day
9-2-2013,Labor Day
5-5-2014,Cinco De Mayo
5-26-2014,Memorial Day
6-15-2014,Father's Day
6-21-2014,Summer Solstice
7-4-2014,Independence Day
9-1-2014,Labor Day
5-5-2015,Cinco De Mayo
5-25-2015,Memorial Day
6-21-2015,Father's Day & Summer Solstice
7-4-2015,Independence Day
9-7-2015,Labor Day